2006-03-27, 2006-05-08, 0
2006-05-13, 2006-06-24, 0
2006-11-25, 2007-01-06, 0
2007-01-10, 2007-02-21, 1
2007-02-03, 2007-03-17, 0
2007-04-21, 2007-06-02, 0
2007-08-04, 2007-09-15, 1
2008-10-13, 2008-11-24, 1
2009-09-28, 2009-11-09, 1
2009-11-04, 2009-12-16, 1
2010-04-28, 2010-06-09, 0
2010-10-23, 2010-12-04, 1
2010-11-29, 2011-01-10, 1
2011-06-23, 2011-08-04, 1
2012-01-05, 2012-02-16, 0
2012-05-29, 2012-07-10, 0
2013-08-20, 2013-10-01, 1
2013-09-27, 2013-11-08, 1
2014-06-11, 2014-07-23, 1
2014-12-30, 2015-02-10, 0
2015-07-30, 2015-09-10, 1
2016-03-10, 2016-04-21, 0
2016-09-02, 2016-10-14, 0
