2006-02-11, 2006-03-25, 0
2006-05-27, 2006-07-08, 0
2006-11-27, 2007-01-08, 0
2007-06-23, 2007-08-04, 1
2007-07-31, 2007-09-11, 1
2008-06-07, 2008-07-19, 0
2008-11-15, 2008-12-27, 0
2009-02-14, 2009-03-28, 0
2009-06-09, 2009-07-21, 0
2009-07-11, 2009-08-22, 0
2009-09-16, 2009-10-28, 1
2010-06-26, 2010-08-07, 0
2010-08-26, 2010-10-07, 1
2010-11-30, 2011-01-11, 1
2010-12-24, 2011-02-04, 1
2011-08-22, 2011-10-03, 1
2012-06-22, 2012-08-03, 1
2012-12-10, 2013-01-21, 1
2013-01-10, 2013-02-21, 1
2013-07-03, 2013-08-14, 1
2013-07-26, 2013-09-06, 1
2013-08-28, 2013-10-09, 1
2013-10-04, 2013-11-15, 1
2014-06-02, 2014-07-14, 1
2014-12-16, 2015-01-27, 0
2015-04-18, 2015-05-30, 0
2015-06-18, 2015-07-30, 1
2015-07-11, 2015-08-22, 1
2015-08-03, 2015-09-14, 1
2016-10-31, 2016-12-12, 0
2017-07-22, 2017-09-02, 1
2017-09-30, 2017-11-11, 1
