1,2006-02-19,2006-04-02,2
2,2006-04-07,2006-05-19,8
3,2006-05-27,2006-07-08,2
4,2006-07-11,2006-08-22,8
5,2006-08-25,2006-10-06,8
6,2006-10-23,2006-12-04,2
7,2007-01-21,2007-03-04,3
8,2007-02-07,2007-03-21,5
9,2007-03-23,2007-05-04,8
10,2007-05-07,2007-06-18,8
11,2007-06-07,2007-07-19,1
12,2007-07-31,2007-09-11,2
13,2007-09-05,2007-10-17,5
14,2007-09-24,2007-11-05,2
15,2007-12-13,2008-01-24,8
16,2008-01-27,2008-03-09,8
17,2008-03-18,2008-04-29,5
18,2008-05-16,2008-06-27,2
19,2008-07-20,2008-08-31,8
20,2008-09-03,2008-10-15,8
21,2008-11-02,2008-12-14,2
22,2008-12-17,2009-01-28,2
23,2009-02-05,2009-03-19,8
24,2009-04-06,2009-05-18,8
25,2009-05-21,2009-07-02,8
26,2009-06-12,2009-07-24,4
27,2009-07-05,2009-08-16,8
28,2009-09-17,2009-10-29,2
29,2009-10-24,2009-12-05,3
30,2009-11-28,2010-01-09,2
31,2009-12-26,2010-02-06,3
32,2010-03-02,2010-04-13,8
33,2010-05-01,2010-06-12,3
34,2010-06-06,2010-07-18,1
35,2010-06-15,2010-07-27,8
36,2010-10-05,2010-11-16,1
37,2010-10-27,2010-12-08,2
38,2010-12-01,2011-01-12,5
39,2010-12-26,2011-02-06,5
40,2011-04-02,2011-05-14,3
41,2011-06-26,2011-08-07,3
42,2011-07-23,2011-09-03,2
43,2011-08-21,2011-10-02,5
44,2011-10-15,2011-11-26,3
45,2011-12-27,2012-02-07,8
46,2012-02-10,2012-03-23,8
47,2012-03-26,2012-05-07,8
48,2012-05-20,2012-07-01,8
49,2012-07-04,2012-08-15,8
50,2012-08-18,2012-09-29,8
51,2012-10-27,2012-12-08,8
52,2012-12-23,2013-02-03,5
53,2013-02-24,2013-04-07,8
54,2013-06-10,2013-07-22,5
55,2013-07-26,2013-09-06,5
56,2013-08-29,2013-10-10,2
57,2013-09-27,2013-11-08,5
58,2013-11-13,2013-12-25,5
59,2014-01-20,2014-03-03,5
60,2014-03-29,2014-05-10,2
61,2014-05-23,2014-07-04,5
62,2014-06-25,2014-08-06,2
63,2014-08-22,2014-10-03,5
64,2014-10-07,2014-11-18,8
65,2014-11-21,2015-01-02,8
66,2015-01-05,2015-02-16,8
67,2015-03-05,2015-04-16,3
68,2015-04-20,2015-06-01,8
69,2015-06-11,2015-07-23,2
70,2015-07-06,2015-08-17,5
71,2015-08-18,2015-09-29,2
72,2015-09-19,2015-10-31,5
73,2015-12-25,2016-02-05,3
74,2016-02-12,2016-03-25,2
75,2016-03-15,2016-04-26,1
76,2016-04-03,2016-05-15,5
77,2016-05-18,2016-06-29,5
78,2016-06-07,2016-07-19,2
79,2016-07-23,2016-09-03,1
80,2016-09-16,2016-10-28,2
81,2016-09-30,2016-11-11,2
82,2016-10-18,2016-11-29,2
83,2016-11-30,2017-01-11,8
84,2017-01-14,2017-02-25,8
85,2017-02-28,2017-04-11,8
86,2017-04-19,2017-05-31,8
87,2017-05-20,2017-07-01,1
88,2017-07-14,2017-08-25,5
89,2017-08-15,2017-09-26,5
90,2017-09-23,2017-11-04,2
